Crash_Year,Crash_Police_Region,Casualty_Severity,Casualty_AgeGroup,Casualty_Gender,Casualty_RoadUserType,Casualty_Count
2013,South Eastern,Minor injury,25 to 29,Male,Driver,19
2013,South Eastern,Fatality,60 to 74,Male,Motorcyclist,3
2014,Central,Fatality,17 to 24,Male,Pedestrian,1
2013,Brisbane,Medically treated,17 to 24,Male,Driver,134
2012,Brisbane,Medically treated,25 to 29,Male,Passenger,12
2013,Northern,Hospitalised,75 and over,Male,Bicyclist,4
2014,Northern,Hospitalised,60 to 74,Female,Passenger,11
2012,Southern,Minor injury,60 to 74,Female,Passenger,8
2013,Central,Medically treated,40 to 49,Female,Passenger,27
2013,Southern,Medically treated,30 to 39,Male,Driver,82
2013,South Eastern,Minor injury,0 to 16,Female,Passenger,15
2013,Brisbane,Medically treated,0 to 16,Male,Passenger,50
2014,Southern,Hospitalised,60 to 74,Male,Motorcyclist,19
2013,South Eastern,Hospitalised,75 and over,Male,Pedestrian,2
2013,Northern,Medically treated,17 to 24,Female,Passenger,37
2013,Central,Hospitalised,60 to 74,Female,Bicyclist,1
2013,Central,Hospitalised,50 to 59,Female,Motorcyclist,4
2013,Northern,Hospitalised,50 to 59,Male,Driver,30
2014,Southern,Hospitalised,50 to 59,Male,Driver,49
2014,South Eastern,Medically treated,40 to 49,Female,Driver,97
2013,Northern,Hospitalised,17 to 24,Female,Pedestrian,1
2013,Central,Hospitalised,50 to 59,Male,Pedestrian,3
2012,Central,Medically treated,25 to 29,Male,Motorcyclist,14
2013,Northern,Minor injury,17 to 24,Male,Driver,22
2014,Northern,Hospitalised,0 to 16,Male,Passenger,29
2013,Brisbane,Fatality,75 and over,Male,Pedestrian,2
2014,Southern,Medically treated,25 to 29,Male,Driver,37
2013,Northern,Fatality,40 to 49,Male,Driver,3
2014,Northern,Fatality,17 to 24,Male,Pedestrian,2
2013,Central,Hospitalised,17 to 24,Male,Motorcyclist,35
2013,Southern,Hospitalised,40 to 49,Female,Passenger,14
2013,Southern,Medically treated,60 to 74,Female,Passenger,23
2012,South Eastern,Hospitalised,0 to 16,Female,Pedestrian,4
2013,Brisbane,Minor injury,75 and over,Male,Driver,8
2013,Brisbane,Fatality,60 to 74,Female,Pedestrian,1
2013,Central,Minor injury,17 to 24,Male,Driver,33
2013,South Eastern,Medically treated,30 to 39,Male,Passenger,13
2013,South Eastern,Medically treated,0 to 16,Male,Passenger,36
2013,Central,Medically treated,60 to 74,Female,Driver,55
2013,Central,Minor injury,75 and over,Male,Driver,6
2013,Brisbane,Medically treated,30 to 39,Female,Driver,212
2013,Southern,Minor injury,0 to 16,Male,Passenger,14
2013,Central,Minor injury,40 to 49,Female,Driver,27
2013,Northern,Hospitalised,0 to 16,Male,Pedestrian,5
2013,Central,Fatality,25 to 29,Male,Driver,3
2013,Southern,Minor injury,40 to 49,Female,Driver,13
2013,Southern,Medically treated,25 to 29,Female,Driver,30
2013,Northern,Minor injury,40 to 49,Female,Passenger,6
2013,Northern,Minor injury,25 to 29,Male,Driver,9
2013,Southern,Fatality,50 to 59,Male,Pedestrian,1
2011,Northern,Minor injury,25 to 29,Female,Passenger,6
2013,Northern,Fatality,50 to 59,Female,Bicyclist,1
2013,South Eastern,Fatality,25 to 29,Male,Pedestrian,1
2011,Southern,Medically treated,60 to 74,Male,Pedestrian,2
2011,Northern,Hospitalised,50 to 59,Male,Passenger,3
2013,South Eastern,Fatality,75 and over,Female,Driver,2
2013,Central,Medically treated,40 to 49,Female,Driver,79
2013,Central,Minor injury,40 to 49,Male,Driver,30
2012,Southern,Fatality,50 to 59,Male,Driver,2
2011,Southern,Medically treated,60 to 74,Male,Bicyclist,1
2012,Northern,Medically treated,40 to 49,Male,Passenger,9
2013,Central,Hospitalised,17 to 24,Male,Pedestrian,7
2010,Central,Medically treated,25 to 29,Female,Passenger,13
2012,Central,Hospitalised,30 to 39,Female,Pedestrian,5
2012,Northern,Hospitalised,25 to 29,Female,Pedestrian,1
2012,South Eastern,Hospitalised,75 and over,Male,Pedestrian,4
2011,Northern,Medically treated,30 to 39,Female,Pedestrian,3
2013,Brisbane,Fatality,0 to 16,Female,Passenger,1
2013,Central,Fatality,0 to 16,Unknown,Passenger,1
2012,Northern,Hospitalised,25 to 29,Female,Bicyclist,2
2010,Brisbane,Minor injury,25 to 29,Male,Pedestrian,3
2010,Brisbane,Minor injury,40 to 49,Male,Pedestrian,5
2013,Southern,Fatality,25 to 29,Male,Motorcyclist,1
2010,Brisbane,Minor injury,0 to 16,Male,Bicyclist,1
2013,South Eastern,Medically treated,25 to 29,Male,Driver,35
2016,Brisbane,Medically treated,25 to 29,Female,Driver,106
2015,Central,Hospitalised,17 to 24,Male,Driver,106
2015,Brisbane,Medically treated,40 to 49,Male,Driver,174
2016,Southern,Hospitalised,50 to 59,Female,Driver,31
2016,South Eastern,Hospitalised,30 to 39,Male,Driver,71
2016,South Eastern,Hospitalised,25 to 29,Female,Driver,43
2014,Northern,Minor injury,0 to 16,Male,Bicyclist,5
2015,South Eastern,Hospitalised,17 to 24,Male,Bicyclist,8
2015,Central,Hospitalised,30 to 39,Female,Bicyclist,1
2016,Northern,Medically treated,40 to 49,Male,Bicyclist,11
2015,Southern,Medically treated,0 to 16,Male,Bicyclist,5
2015,Brisbane,Medically treated,25 to 29,Male,Bicyclist,8
2016,Central,Medically treated,50 to 59,Male,Passenger,9
2016,Brisbane,Hospitalised,25 to 29,Female,Motorcyclist,10
2016,Southern,Medically treated,30 to 39,Male,Passenger,11
2016,Brisbane,Medically treated,40 to 49,Female,Passenger,33
2016,South Eastern,Hospitalised,60 to 74,Male,Driver,41
2014,South Eastern,Medically treated,30 to 39,Female,Driver,111
2015,Northern,Medically treated,60 to 74,Female,Driver,27
2015,Northern,Hospitalised,40 to 49,Female,Driver,31
2015,Southern,Hospitalised,17 to 24,Male,Driver,81
2016,South Eastern,Hospitalised,50 to 59,Female,Passenger,5
2016,Southern,Fatality,17 to 24,Female,Passenger,3
2015,Brisbane,Medically treated,60 to 74,Female,Pedestrian,4
2016,South Eastern,Medically treated,0 to 16,Male,Passenger,44
2016,Central,Hospitalised,75 and over,Male,Driver,36
2014,Central,Medically treated,17 to 24,Male,Bicyclist,6
2015,South Eastern,Hospitalised,50 to 59,Male,Bicyclist,5
2016,Brisbane,Hospitalised,17 to 24,Male,Bicyclist,8
2015,Brisbane,Medically treated,17 to 24,Female,Bicyclist,5
2016,Southern,Medically treated,17 to 24,Female,Passenger,46
2016,Southern,Fatality,50 to 59,Male,Driver,5
2016,Brisbane,Medically treated,17 to 24,Female,Pedestrian,8
2013,Northern,Medically treated,50 to 59,Female,Bicyclist,2
2013,Central,Medically treated,17 to 24,Male,Bicyclist,8
2013,South Eastern,Medically treated,40 to 49,Male,Bicyclist,8
2014,Brisbane,Medically treated,50 to 59,Female,Driver,117
2014,South Eastern,Medically treated,17 to 24,Male,Pedestrian,3
2016,Brisbane,Minor injury,75 and over,Male,Driver,5
2016,Brisbane,Minor injury,0 to 16,Male,Passenger,21
2015,Central,Medically treated,40 to 49,Male,Driver,61
2015,Brisbane,Medically treated,30 to 39,Female,Driver,201
2014,Central,Medically treated,75 and over,Male,Driver,26
2015,South Eastern,Medically treated,17 to 24,Male,Motorcyclist,21
2016,South Eastern,Hospitalised,40 to 49,Female,Driver,45
2016,Brisbane,Minor injury,17 to 24,Female,Driver,39
2016,Central,Medically treated,40 to 49,Female,Motorcyclist,5
2015,Brisbane,Medically treated,0 to 16,Male,Driver,2
2014,Brisbane,Hospitalised,17 to 24,Female,Driver,110
2015,Central,Hospitalised,17 to 24,Female,Driver,96
2016,Central,Medically treated,30 to 39,Male,Driver,62
2013,Brisbane,Medically treated,40 to 49,Male,Motorcyclist,31
2015,Northern,Medically treated,50 to 59,Female,Driver,40
2016,South Eastern,Medically treated,40 to 49,Female,Driver,121
2016,Southern,Hospitalised,40 to 49,Female,Passenger,18
2016,Northern,Medically treated,30 to 39,Male,Driver,33
2016,Brisbane,Hospitalised,75 and over,Male,Driver,16
2016,Brisbane,Medically treated,17 to 24,Female,Passenger,73
2016,Northern,Hospitalised,17 to 24,Female,Pedestrian,4
2012,South Eastern,Medically treated,17 to 24,Female,Bicyclist,3
2014,Northern,Hospitalised,25 to 29,Male,Bicyclist,6
2014,Southern,Hospitalised,17 to 24,Female,Driver,96
2015,Brisbane,Medically treated,60 to 74,Female,Passenger,32
2015,Central,Hospitalised,30 to 39,Male,Pedestrian,9
2014,Northern,Medically treated,30 to 39,Female,Driver,40
2014,Southern,Hospitalised,25 to 29,Male,Driver,51
2015,Northern,Medically treated,50 to 59,Male,Driver,24
2015,Central,Hospitalised,0 to 16,Male,Passenger,28
2015,Central,Hospitalised,25 to 29,Female,Passenger,11
2016,South Eastern,Hospitalised,17 to 24,Female,Passenger,30
2016,Brisbane,Medically treated,17 to 24,Female,Motorcyclist,6
2015,Central,Medically treated,60 to 74,Male,Driver,53
2015,Central,Medically treated,75 and over,Male,Passenger,2
2015,South Eastern,Hospitalised,0 to 16,Female,Passenger,31
2016,Central,Hospitalised,17 to 24,Male,Pedestrian,7
2015,Brisbane,Hospitalised,50 to 59,Male,Pedestrian,8
2016,Northern,Medically treated,25 to 29,Male,Driver,27
2012,Southern,Medically treated,50 to 59,Female,Bicyclist,2
2014,Northern,Hospitalised,30 to 39,Male,Bicyclist,7
2014,South Eastern,Minor injury,60 to 74,Female,Driver,18
2016,Northern,Hospitalised,25 to 29,Male,Motorcyclist,9
2016,Southern,Hospitalised,17 to 24,Male,Passenger,27
2016,South Eastern,Hospitalised,25 to 29,Male,Motorcyclist,25
2016,Southern,Minor injury,40 to 49,Female,Driver,19
2016,Brisbane,Hospitalised,50 to 59,Male,Motorcyclist,45
2016,South Eastern,Hospitalised,50 to 59,Female,Driver,40
2016,Central,Medically treated,60 to 74,Male,Motorcyclist,3
2016,Central,Hospitalised,75 and over,Female,Driver,25
2016,Northern,Hospitalised,40 to 49,Male,Bicyclist,8
2015,Brisbane,Medically treated,40 to 49,Female,Passenger,43
2016,Brisbane,Medically treated,25 to 29,Male,Motorcyclist,29
2015,Northern,Hospitalised,17 to 24,Male,Driver,46
2012,Southern,Medically treated,25 to 29,Male,Bicyclist,1
2012,Northern,Medically treated,50 to 59,Female,Bicyclist,2
2012,Central,Minor injury,0 to 16,Female,Bicyclist,1
2014,South Eastern,Medically treated,0 to 16,Male,Bicyclist,6
2016,South Eastern,Medically treated,25 to 29,Female,Passenger,24
2016,South Eastern,Hospitalised,30 to 39,Female,Motorcyclist,5
2016,Brisbane,Medically treated,50 to 59,Male,Bicyclist,10
2015,South Eastern,Medically treated,40 to 49,Male,Passenger,8
2015,Northern,Minor injury,50 to 59,Male,Driver,9
2015,Central,Medically treated,60 to 74,Female,Pedestrian,4
2016,Brisbane,Minor injury,40 to 49,Female,Driver,52
2016,Central,Minor injury,17 to 24,Female,Driver,22
2016,Brisbane,Medically treated,60 to 74,Male,Pedestrian,6
2015,Brisbane,Hospitalised,40 to 49,Male,Motorcyclist,59
2016,Central,Hospitalised,60 to 74,Male,Driver,60
2016,Southern,Minor injury,75 and over,Female,Driver,6
2014,Central,Hospitalised,30 to 39,Female,Bicyclist,2
2016,South Eastern,Minor injury,40 to 49,Male,Motorcyclist,4
2015,South Eastern,Minor injury,60 to 74,Female,Passenger,6
2016,South Eastern,Fatality,17 to 24,Male,Pedestrian,3
2016,Southern,Medically treated,0 to 16,Male,Bicyclist,7
2016,Central,Fatality,30 to 39,Male,Pedestrian,1
2016,Brisbane,Medically treated,75 and over,Female,Pedestrian,3
2016,Central,Medically treated,60 to 74,Female,Passenger,19
2014,Brisbane,Minor injury,40 to 49,Female,Passenger,14
2016,Brisbane,Medically treated,25 to 29,Female,Passenger,36
2014,Southern,Hospitalised,60 to 74,Male,Driver,55
2016,Brisbane,Medically treated,60 to 74,Male,Motorcyclist,8
2016,Central,Hospitalised,50 to 59,Male,Pedestrian,3
2016,Central,Hospitalised,17 to 24,Female,Motorcyclist,5
2016,South Eastern,Medically treated,30 to 39,Female,Passenger,24
2015,Brisbane,Medically treated,50 to 59,Male,Motorcyclist,19
2016,Central,Hospitalised,0 to 16,Male,Pedestrian,13
2013,Brisbane,Minor injury,25 to 29,Male,Bicyclist,5
2013,Central,Medically treated,30 to 39,Female,Bicyclist,3
2014,Central,Hospitalised,50 to 59,Male,Bicyclist,6
2014,South Eastern,Hospitalised,40 to 49,Female,Bicyclist,1
2015,Central,Minor injury,30 to 39,Male,Bicyclist,2
2016,South Eastern,Medically treated,0 to 16,Male,Pedestrian,8
2016,Northern,Hospitalised,30 to 39,Male,Motorcyclist,16
2015,Brisbane,Hospitalised,30 to 39,Male,Motorcyclist,77
2015,Southern,Minor injury,25 to 29,Female,Driver,10
2015,Brisbane,Hospitalised,25 to 29,Male,Motorcyclist,31
2013,South Eastern,Medically treated,17 to 24,Male,Bicyclist,3
2013,Brisbane,Medically treated,25 to 29,Male,Bicyclist,9
2014,Central,Medically treated,40 to 49,Female,Bicyclist,5
2014,South Eastern,Hospitalised,40 to 49,Male,Driver,55
2016,South Eastern,Medically treated,75 and over,Female,Passenger,10
2013,Northern,Minor injury,30 to 39,Male,Passenger,5
2016,Brisbane,Minor injury,30 to 39,Male,Passenger,12
2016,South Eastern,Medically treated,25 to 29,Female,Motorcyclist,2
2016,South Eastern,Minor injury,25 to 29,Male,Driver,23
2015,South Eastern,Minor injury,30 to 39,Female,Passenger,7
2015,Central,Medically treated,0 to 16,Male,Passenger,43
2015,Brisbane,Medically treated,0 to 16,Female,Passenger,48
2014,South Eastern,Minor injury,17 to 24,Male,Motorcyclist,6
2014,Southern,Hospitalised,25 to 29,Male,Bicyclist,4
2016,Northern,Medically treated,17 to 24,Male,Bicyclist,2
2013,Southern,Minor injury,30 to 39,Male,Pedestrian,3
2014,Brisbane,Hospitalised,50 to 59,Male,Driver,49
2014,Northern,Minor injury,40 to 49,Female,Bicyclist,1
2015,Northern,Medically treated,17 to 24,Female,Bicyclist,3
2015,Northern,Minor injury,0 to 16,Male,Bicyclist,3
2015,Central,Medically treated,30 to 39,Male,Bicyclist,9
2014,Northern,Minor injury,25 to 29,Male,Driver,17
2016,Brisbane,Minor injury,0 to 16,Female,Passenger,17
2016,South Eastern,Medically treated,60 to 74,Female,Passenger,21
2016,Northern,Hospitalised,40 to 49,Male,Motorcyclist,16
2016,Northern,Medically treated,17 to 24,Male,Passenger,25
2015,Central,Hospitalised,Unknown,Male,Passenger,1
2013,Southern,Medically treated,25 to 29,Male,Bicyclist,1
2013,Central,Medically treated,40 to 49,Female,Bicyclist,2
2014,South Eastern,Hospitalised,50 to 59,Male,Bicyclist,7
2014,Central,Minor injury,17 to 24,Male,Bicyclist,2
2014,Northern,Minor injury,30 to 39,Male,Bicyclist,1
2014,Southern,Medically treated,30 to 39,Female,Bicyclist,1
2014,Central,Minor injury,50 to 59,Male,Bicyclist,5
2014,Brisbane,Hospitalised,17 to 24,Male,Pedestrian,14
2014,South Eastern,Hospitalised,50 to 59,Male,Driver,31
2014,Southern,Minor injury,40 to 49,Male,Driver,27
2014,Central,Medically treated,60 to 74,Male,Driver,57
2016,South Eastern,Hospitalised,75 and over,Male,Driver,17
2016,Central,Medically treated,40 to 49,Male,Passenger,9
2013,South Eastern,Minor injury,50 to 59,Male,Bicyclist,1
2015,South Eastern,Medically treated,25 to 29,Male,Bicyclist,4
2016,Central,Medically treated,17 to 24,Female,Passenger,44
2016,Southern,Hospitalised,17 to 24,Male,Motorcyclist,19
2014,South Eastern,Hospitalised,30 to 39,Female,Driver,67
2014,Northern,Minor injury,60 to 74,Female,Driver,11
2015,Southern,Minor injury,60 to 74,Male,Driver,16
2015,Northern,Medically treated,25 to 29,Female,Driver,35
2015,South Eastern,Minor injury,30 to 39,Male,Driver,27
2015,Brisbane,Medically treated,0 to 16,Female,Pedestrian,7
2015,Southern,Medically treated,50 to 59,Male,Motorcyclist,19
2015,Brisbane,Hospitalised,50 to 59,Female,Driver,58
2015,Central,Medically treated,17 to 24,Male,Motorcyclist,18
2015,Brisbane,Medically treated,50 to 59,Female,Pedestrian,6
2015,Northern,Minor injury,60 to 74,Male,Passenger,4
2016,Central,Medically treated,75 and over,Female,Driver,13
2015,Southern,Medically treated,60 to 74,Female,Passenger,16
2014,Southern,Medically treated,75 and over,Female,Passenger,5
2014,Central,Medically treated,25 to 29,Male,Pedestrian,1
2014,Central,Hospitalised,25 to 29,Female,Motorcyclist,3
2016,Northern,Fatality,50 to 59,Female,Passenger,1
2016,Northern,Hospitalised,40 to 49,Female,Passenger,9
2015,Southern,Minor injury,75 and over,Male,Driver,1
2015,South Eastern,Hospitalised,50 to 59,Male,Pedestrian,2
2014,South Eastern,Hospitalised,17 to 24,Male,Motorcyclist,30
2016,Northern,Minor injury,40 to 49,Female,Passenger,3
2013,South Eastern,Medically treated,17 to 24,Male,Motorcyclist,13
2013,Central,Minor injury,0 to 16,Female,Driver,1
2013,Brisbane,Minor injury,30 to 39,Female,Motorcyclist,1
2015,Southern,Minor injury,40 to 49,Male,Passenger,6
2015,Northern,Medically treated,40 to 49,Female,Driver,38
2015,South Eastern,Minor injury,30 to 39,Male,Motorcyclist,6
2015,Southern,Hospitalised,50 to 59,Male,Pedestrian,3
2015,Southern,Hospitalised,40 to 49,Female,Driver,44
2015,Brisbane,Medically treated,60 to 74,Male,Motorcyclist,11
2016,Central,Hospitalised,30 to 39,Male,Pedestrian,8
2015,Brisbane,Hospitalised,60 to 74,Male,Motorcyclist,15
2016,Brisbane,Minor injury,75 and over,Male,Passenger,3
2015,Central,Hospitalised,75 and over,Female,Driver,17
2015,Northern,Medically treated,17 to 24,Male,Motorcyclist,11
2014,South Eastern,Minor injury,60 to 74,Female,Motorcyclist,1
2015,Northern,Hospitalised,40 to 49,Male,Motorcyclist,16
2014,Brisbane,Medically treated,50 to 59,Male,Driver,112
2016,South Eastern,Hospitalised,0 to 16,Female,Passenger,23
2015,Southern,Minor injury,25 to 29,Male,Motorcyclist,2
2013,Central,Medically treated,40 to 49,Female,Motorcyclist,5
2016,Southern,Minor injury,30 to 39,Male,Driver,27
2014,Central,Medically treated,50 to 59,Female,Driver,59
2014,Northern,Minor injury,30 to 39,Male,Driver,14
2014,Northern,Medically treated,30 to 39,Male,Motorcyclist,6
2015,Northern,Minor injury,0 to 16,Male,Passenger,16
2013,Central,Medically treated,60 to 74,Male,Driver,47
2015,Brisbane,Minor injury,60 to 74,Female,Driver,17
2012,Northern,Medically treated,40 to 49,Female,Motorcyclist,2
2015,Northern,Hospitalised,60 to 74,Female,Passenger,11
2016,Brisbane,Fatality,75 and over,Male,Pedestrian,1
2014,Brisbane,Hospitalised,40 to 49,Female,Driver,75
2015,Brisbane,Hospitalised,0 to 16,Female,Passenger,26
2016,Southern,Hospitalised,25 to 29,Female,Passenger,9
2015,South Eastern,Hospitalised,17 to 24,Male,Passenger,28
2014,Northern,Hospitalised,17 to 24,Male,Pedestrian,11
2014,South Eastern,Medically treated,40 to 49,Female,Passenger,14
2014,Brisbane,Medically treated,25 to 29,Female,Driver,108
2014,South Eastern,Hospitalised,30 to 39,Male,Driver,51
2016,Southern,Hospitalised,60 to 74,Female,Pedestrian,3
2015,Northern,Medically treated,0 to 16,Female,Passenger,20
2015,Northern,Medically treated,17 to 24,Unknown,Passenger,1
2014,Northern,Medically treated,17 to 24,Male,Passenger,27
2014,Northern,Medically treated,30 to 39,Female,Passenger,13
2013,Southern,Medically treated,50 to 59,Male,Motorcyclist,15
2016,Central,Medically treated,50 to 59,Female,Motorcyclist,4
2013,Central,Medically treated,25 to 29,Female,Passenger,11
2014,Southern,Hospitalised,25 to 29,Female,Passenger,10
2015,Central,Medically treated,0 to 16,Female,Pedestrian,2
2016,South Eastern,Hospitalised,40 to 49,Female,Passenger,11
2014,Central,Medically treated,17 to 24,Male,Pedestrian,5
2014,South Eastern,Minor injury,17 to 24,Female,Passenger,23
2015,Central,Hospitalised,25 to 29,Female,Motorcyclist,4
2015,Northern,Hospitalised,75 and over,Female,Passenger,10
2015,Northern,Medically treated,30 to 39,Female,Motorcyclist,2
2015,South Eastern,Medically treated,50 to 59,Male,Passenger,7
2014,Central,Hospitalised,50 to 59,Male,Motorcyclist,39
2015,Central,Hospitalised,50 to 59,Female,Passenger,14
2016,Southern,Hospitalised,75 and over,Female,Pedestrian,2
2014,Central,Hospitalised,30 to 39,Male,Motorcyclist,40
2014,South Eastern,Hospitalised,50 to 59,Female,Driver,46
2015,Northern,Hospitalised,30 to 39,Female,Pedestrian,4
2014,Northern,Hospitalised,50 to 59,Male,Driver,29
2014,South Eastern,Medically treated,17 to 24,Male,Motorcyclist,12
2012,Brisbane,Medically treated,17 to 24,Unknown,Driver,1
2015,Brisbane,Hospitalised,0 to 16,Female,Driver,1
2015,Central,Fatality,17 to 24,Male,Motorcyclist,3
2015,South Eastern,Fatality,30 to 39,Male,Motorcyclist,7
2013,South Eastern,Minor injury,25 to 29,Male,Passenger,4
2014,Southern,Minor injury,40 to 49,Female,Passenger,6
2014,Southern,Hospitalised,40 to 49,Male,Pedestrian,3
2014,Northern,Medically treated,75 and over,Male,Driver,7
2014,Southern,Minor injury,25 to 29,Male,Driver,17
2014,Northern,Medically treated,75 and over,Female,Passenger,3
2014,South Eastern,Hospitalised,60 to 74,Male,Driver,28
2015,Brisbane,Medically treated,75 and over,Male,Passenger,5
2013,Northern,Medically treated,40 to 49,Male,Motorcyclist,13
2015,Northern,Medically treated,30 to 39,Male,Passenger,11
2015,Southern,Medically treated,0 to 16,Female,Pedestrian,5
2015,Northern,Minor injury,40 to 49,Male,Motorcyclist,3
2015,Central,Minor injury,75 and over,Female,Driver,5
2015,South Eastern,Hospitalised,30 to 39,Female,Passenger,8
2014,Brisbane,Hospitalised,0 to 16,Female,Pedestrian,10
2014,Northern,Hospitalised,40 to 49,Male,Passenger,10
2014,Southern,Hospitalised,60 to 74,Female,Passenger,18
2014,Southern,Medically treated,50 to 59,Male,Pedestrian,4
2015,Southern,Hospitalised,30 to 39,Female,Pedestrian,2
2014,Southern,Hospitalised,30 to 39,Male,Motorcyclist,26
2015,Central,Fatality,40 to 49,Male,Driver,5
2015,Brisbane,Fatality,75 and over,Male,Driver,2
2013,Central,Medically treated,25 to 29,Male,Pedestrian,2
2015,South Eastern,Minor injury,50 to 59,Female,Passenger,7
2014,Southern,Hospitalised,40 to 49,Male,Motorcyclist,26
2012,South Eastern,Medically treated,30 to 39,Male,Pedestrian,5
2014,Northern,Medically treated,25 to 29,Male,Passenger,9
2014,Southern,Medically treated,0 to 16,Male,Passenger,29
2014,Southern,Hospitalised,30 to 39,Male,Passenger,15
2015,South Eastern,Fatality,40 to 49,Male,Motorcyclist,3
2015,Brisbane,Fatality,30 to 39,Male,Driver,2
2015,Central,Fatality,60 to 74,Male,Driver,4
2015,Northern,Medically treated,0 to 16,Female,Pedestrian,5
2013,Northern,Medically treated,75 and over,Female,Driver,7
2013,Northern,Medically treated,30 to 39,Female,Driver,49
2013,Southern,Medically treated,25 to 29,Male,Motorcyclist,10
2014,Northern,Minor injury,17 to 24,Female,Driver,21
2014,Southern,Hospitalised,25 to 29,Male,Pedestrian,1
2015,Central,Hospitalised,60 to 74,Female,Motorcyclist,5
2016,Southern,Fatality,60 to 74,Male,Motorcyclist,3
2016,Central,Hospitalised,40 to 49,Male,Passenger,13
2014,Southern,Medically treated,75 and over,Female,Driver,9
2015,South Eastern,Hospitalised,0 to 16,Female,Motorcyclist,2
2013,Central,Minor injury,30 to 39,Female,Driver,26
2014,Southern,Hospitalised,0 to 16,Female,Pedestrian,5
2014,Southern,Medically treated,25 to 29,Male,Passenger,9
2013,South Eastern,Minor injury,30 to 39,Male,Motorcyclist,4
2013,Southern,Medically treated,30 to 39,Female,Passenger,13
2014,Northern,Hospitalised,75 and over,Male,Driver,14
2014,Brisbane,Medically treated,Unknown,Male,Passenger,2
2014,Brisbane,Minor injury,75 and over,Male,Driver,12
2012,South Eastern,Medically treated,50 to 59,Unknown,Passenger,5
2014,Northern,Hospitalised,0 to 16,Female,Pedestrian,3
2012,Northern,Medically treated,30 to 39,Male,Other,1
2015,Southern,Hospitalised,40 to 49,Male,Passenger,3
2014,Central,Minor injury,75 and over,Female,Driver,7
2015,Central,Hospitalised,0 to 16,Male,Motorcyclist,7
2015,Southern,Fatality,25 to 29,Male,Motorcyclist,2
2015,Brisbane,Hospitalised,17 to 24,Female,Motorcyclist,4
2013,Southern,Medically treated,60 to 74,Female,Pedestrian,2
2013,South Eastern,Medically treated,75 and over,Male,Pedestrian,1
2014,Central,Medically treated,25 to 29,Male,Motorcyclist,10
2015,Southern,Hospitalised,50 to 59,Female,Pedestrian,1
2013,Southern,Medically treated,40 to 49,Male,Passenger,4
2014,Brisbane,Medically treated,60 to 74,Male,Pedestrian,3
2012,Northern,Medically treated,Unknown,Male,Driver,1
2014,South Eastern,Minor injury,75 and over,Male,Motorcyclist,1
2013,South Eastern,Minor injury,30 to 39,Female,Passenger,6
2013,Brisbane,Minor injury,75 and over,Female,Passenger,1
2013,Brisbane,Minor injury,75 and over,Female,Driver,1
2014,Brisbane,Hospitalised,30 to 39,Female,Passenger,11
2014,Central,Medically treated,40 to 49,Male,Pedestrian,4
2015,Southern,Hospitalised,75 and over,Female,Pedestrian,3
2014,South Eastern,Medically treated,0 to 16,Female,Pedestrian,2
2013,Northern,Minor injury,50 to 59,Female,Driver,12
2014,Brisbane,Hospitalised,60 to 74,Male,Pedestrian,7
2014,South Eastern,Hospitalised,Unknown,Male,Passenger,1
2017,Southern,Medically treated,75 and over,Female,Passenger,11
2017,Southern,Hospitalised,0 to 16,Female,Pedestrian,5
2017,Brisbane,Hospitalised,50 to 59,Female,Bicyclist,12
2017,South Eastern,Medically treated,0 to 16,Male,Pedestrian,4
2017,South Eastern,Medically treated,30 to 39,Female,Driver,116
2017,Southern,Hospitalised,17 to 24,Male,Driver,88
2017,Southern,Hospitalised,60 to 74,Female,Driver,43
2017,Brisbane,Medically treated,17 to 24,Female,Driver,173
2017,Central,Fatality,75 and over,Male,Motorcyclist,1
2017,South Eastern,Hospitalised,40 to 49,Male,Pedestrian,1
2017,Central,Hospitalised,17 to 24,Male,Motorcyclist,29
2017,South Eastern,Minor injury,50 to 59,Male,Driver,46
2017,South Eastern,Medically treated,25 to 29,Female,Motorcyclist,4
2017,Central,Fatality,50 to 59,Male,Driver,5
2017,Southern,Minor injury,17 to 24,Female,Driver,34
2017,Southern,Hospitalised,17 to 24,Female,Driver,84
2017,Brisbane,Medically treated,30 to 39,Female,Passenger,52
2017,South Eastern,Minor injury,25 to 29,Male,Motorcyclist,3
2017,Southern,Hospitalised,40 to 49,Male,Motorcyclist,28
2017,Southern,Hospitalised,40 to 49,Female,Driver,47
2017,South Eastern,Hospitalised,0 to 16,Female,Passenger,29
2017,Central,Hospitalised,30 to 39,Male,Pedestrian,5
2017,Northern,Medically treated,25 to 29,Male,Motorcyclist,5
2017,Central,Medically treated,25 to 29,Female,Passenger,16
2017,South Eastern,Medically treated,60 to 74,Male,Driver,40
2017,Central,Hospitalised,17 to 24,Male,Driver,103
2017,South Eastern,Minor injury,17 to 24,Female,Driver,43
2017,Southern,Hospitalised,60 to 74,Male,Driver,46
2017,Brisbane,Hospitalised,0 to 16,Female,Driver,2
2017,Northern,Hospitalised,0 to 16,Male,Pedestrian,7
2017,South Eastern,Medically treated,0 to 16,Female,Passenger,35
2017,Central,Hospitalised,60 to 74,Male,Motorcyclist,24
2015,Southern,Minor injury,25 to 29,Female,Passenger,5
2017,South Eastern,Minor injury,40 to 49,Female,Passenger,13
2017,South Eastern,Hospitalised,30 to 39,Female,Driver,60
2017,Southern,Hospitalised,50 to 59,Female,Pedestrian,4
